max_time,mean_time,positive_score,negative_score,subjective_score,negative,positive,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,ttr,cttr,diversity,herdan,summer,dugast,maas,utterances,WC,unique,word_per_utter,label
190.0,10.0,0.484375,0.13764880952380953,0.14093959731543623,1,10,0,8,0,0,8,2,5,5,0.44477611940298506,5.756372199182605,49.3884488392154,0.8606525564837485,0.9147502490922541,41.723984201740926,0.023967030453392685,20,358,47,17.9,2
178.0,22.25,0.20833333333333334,0.2916666666666667,0.1574074074074074,2,5,0,7,1,1,3,1,1,3,0.5882352941176471,5.423261445466404,51.989830034831385,0.8966804757690343,0.933349626840931,49.70791798817655,0.020117519310260762,9,182,41,20.22222222222222,2
42.0,8.4,0.2592905405405405,0.15962837837837837,0.11077844311377245,11,6,2,7,1,1,4,5,3,4,0.4421052631578947,6.094000500924098,56.348592137820546,0.8625953295633737,0.9170418926958174,43.231217933455554,0.023131432511091135,6,384,45,64.0,2
213.0,8.875,0.38950892857142855,0.0859375,0.20588235294117646,1,23,2,12,1,1,13,0,6,12,0.41228070175438597,5.391269745958201,39.509987898087225,0.8481440295815837,0.9066215526460538,38.42332126281018,0.026025860522575314,25,344,53,13.76,2
180.0,13.846153846153847,0.3306818181818182,0.14659090909090908,0.17295597484276728,5,18,1,17,0,2,11,4,5,14,0.45027624309392267,6.057847291914405,45.213894974575354,0.8645719289332734,0.9179487491282927,43.50386271781798,0.022986464592497615,14,362,44,25.857142857142858,2
146.0,18.25,0.37777777777777777,0.19722222222222222,0.16875,1,11,0,6,0,1,6,1,0,8,0.4900398406374502,5.489758664932657,69.7090543969004,0.870912196408745,0.9191430169109258,42.803834176524035,0.023362393094879683,9,252,44,28.0,2
207.0,12.9375,0.4187219730941704,0.13789237668161436,0.2064814814814815,1,20,1,10,0,0,15,3,2,12,0.47619047619047616,5.976143046671969,81.63420695664227,0.8710251236600045,0.9210786835869801,44.60227295478122,0.0224203820512426,17,316,45,18.58823529411765,2
120.0,12.0,0.3263888888888889,0.17083333333333334,0.11363636363636363,1,8,0,12,0,3,6,0,3,7,0.470873786407767,4.778846999096822,23.404160084254872,0.858636881484183,0.9088981000323806,37.6892942425676,0.026532733501561972,11,229,49,20.818181818181817,2
168.0,5.090909090909091,0.3626609442060086,0.11856223175965665,0.16180555555555556,2,22,1,10,0,1,14,0,4,6,0.38271604938271603,5.446144859178875,46.667345276872965,0.8400266461623889,0.9027443789759431,37.53054445055318,0.026644963845848513,34,405,47,11.911764705882353,2
181.0,7.24,0.33315217391304347,0.16902173913043478,0.16242937853107345,5,23,1,14,1,4,14,9,8,12,0.4126984126984127,5.673665146135802,59.804684618222055,0.8508754900764233,0.909318840033123,39.79824777738484,0.025126734362617975,26,396,47,15.23076923076923,2
177.0,9.833333333333334,0.398876404494382,0.17275280898876405,0.1523972602739726,2,4,1,4,0,2,1,3,1,1,0.5,5.07444578254611,53.024671052631575,0.869901784763624,0.9166892372383988,40.95272298016802,0.024418400712554945,19,209,48,11.0,2
177.0,9.833333333333334,0.3473360655737705,0.2551229508196721,0.2147887323943662,3,5,0,5,3,0,3,0,2,5,0.4519774011299435,4.251952027621871,31.85210702341137,0.8465803466034837,0.8986959020795846,33.73850493062945,0.029639724761251984,19,180,44,9.473684210526315,2
179.0,16.272727272727273,0.3431603773584906,0.17570754716981132,0.20703125,0,5,0,7,0,0,3,1,1,3,0.5364238410596026,4.661026234952332,47.1875,0.8758628774156892,0.9178208658219151,40.41723968112209,0.024741917258319736,12,151,41,12.583333333333334,2
173.0,10.8125,0.33067375886524825,0.23581560283687944,0.17625,2,9,5,9,2,4,5,2,3,6,0.48523206751054854,5.282124940008192,47.4,0.8677541954354282,0.9165078624513326,41.34770217580125,0.024185140827130414,17,239,48,14.058823529411764,2
157.0,19.625,0.4098101265822785,0.18037974683544303,0.17633928571428573,1,2,0,3,0,0,2,1,0,2,0.5319148936170213,4.466185006315603,45.5758667494279,0.8724383904603586,0.9146644480642758,38.79505682185893,0.02577647983844565,9,146,37,16.22222222222222,2
